{'Instance': 1, 'order': 4, 'job no': 12, 'Assigned job': 3, 'Machine_no': 2, 'DC': 1, 'Obj': 18.6, 'Tardiness:': 8, 'Makespan': 61, 'Solve Time': 0.19035935401916504, 'Gap': 0.0001}
{'Instance': 2, 'order': 4, 'job no': 12, 'Assigned job': 4, 'Machine_no': 2, 'DC': 1, 'Obj': 25.800000000000004, 'Tardiness:': 16, 'Makespan': 65, 'Solve Time': 0.241668701171875, 'Gap': 0.0001}
{'Instance': 3, 'order': 4, 'job no': 12, 'Assigned job': 4, 'Machine_no': 2, 'DC': 1, 'Obj': 36.20000000000001, 'Tardiness:': 29, 'Makespan': 65, 'Solve Time': 1.0910346508026123, 'Gap': 0.0001}
{'Instance': 4, 'order': 4, 'job no': 12, 'Assigned job': 5, 'Machine_no': 2, 'DC': 1, 'Obj': 28.000000000000004, 'Tardiness:': 12, 'Makespan': 92, 'Solve Time': 0.2825596332550049, 'Gap': 0.0001}
{'Instance': 5, 'order': 4, 'job no': 12, 'Assigned job': 3, 'Machine_no': 2, 'DC': 1, 'Obj': 23.600000000000005, 'Tardiness:': 10, 'Makespan': 78, 'Solve Time': 0.18111634254455566, 'Gap': 0.0001}
{'Instance': 6, 'order': 4, 'job no': 12, 'Assigned job': 4, 'Machine_no': 2, 'DC': 1, 'Obj': 10.000000000000002, 'Tardiness:': 0, 'Makespan': 50, 'Solve Time': 0.169144868850708, 'Gap': 0.0001}
{'Instance': 7, 'order': 4, 'job no': 12, 'Assigned job': 4, 'Machine_no': 2, 'DC': 1, 'Obj': 18.200000000000003, 'Tardiness:': 4, 'Makespan': 75, 'Solve Time': 0.17406487464904785, 'Gap': 0.0001}
{'Instance': 8, 'order': 4, 'job no': 12, 'Assigned job': 4, 'Machine_no': 2, 'DC': 1, 'Obj': 12.400000000000002, 'Tardiness:': 0, 'Makespan': 62, 'Solve Time': 1.531071424484253, 'Gap': 0.0001}
{'Instance': 9, 'order': 4, 'job no': 12, 'Assigned job': 6, 'Machine_no': 2, 'DC': 1, 'Obj': 11.800000000000002, 'Tardiness:': 1, 'Makespan': 55, 'Solve Time': 0.16186022758483887, 'Gap': 0.0001}
{'Instance': 10, 'order': 4, 'job no': 12, 'Assigned job': 5, 'Machine_no': 2, 'DC': 1, 'Obj': 13.400000000000002, 'Tardiness:': 0, 'Makespan': 67, 'Solve Time': 0.29174184799194336, 'Gap': 0.0001}
{'Instance': 11, 'order': 8, 'job no': 56, 'Assigned job': 5, 'Machine_no': 2, 'DC': 1, 'Obj': 22.400000000000002, 'Tardiness:': 0, 'Makespan': 112, 'Solve Time': 3.1739604473114014, 'Gap': 0.0001}
{'Instance': 12, 'order': 8, 'job no': 56, 'Assigned job': 3, 'Machine_no': 2, 'DC': 1, 'Obj': 24.200000000000003, 'Tardiness:': 0, 'Makespan': 121, 'Solve Time': 5.0048604011535645, 'Gap': 0.0001}
{'Instance': 13, 'order': 8, 'job no': 56, 'Assigned job': 6, 'Machine_no': 2, 'DC': 1, 'Obj': 19.000000000000004, 'Tardiness:': 0, 'Makespan': 95, 'Solve Time': 3.7147533893585205, 'Gap': 0.0001}
{'Instance': 14, 'order': 8, 'job no': 56, 'Assigned job': 7, 'Machine_no': 2, 'DC': 1, 'Obj': 17.200000000000003, 'Tardiness:': 0, 'Makespan': 86, 'Solve Time': 1.6389400959014893, 'Gap': 0.0001}
{'Instance': 15, 'order': 8, 'job no': 56, 'Assigned job': 6, 'Machine_no': 2, 'DC': 1, 'Obj': 18.400000000000002, 'Tardiness:': 0, 'Makespan': 92, 'Solve Time': 1.655062198638916, 'Gap': 0.0001}
{'Instance': 16, 'order': 8, 'job no': 56, 'Assigned job': 3, 'Machine_no': 2, 'DC': 1, 'Obj': 19.200000000000003, 'Tardiness:': 0, 'Makespan': 96, 'Solve Time': 1.6851110458374023, 'Gap': 0.0001}
{'Instance': 17, 'order': 8, 'job no': 56, 'Assigned job': 9, 'Machine_no': 2, 'DC': 1, 'Obj': 28.200000000000003, 'Tardiness:': 6, 'Makespan': 117, 'Solve Time': 1.555616855621338, 'Gap': 0.0001}
