Instance	Order	Job No	Assigned Job	Machine No	DC	Obj	Tardiness	Makespan	Solve Time
1	4	12	6	6	3	24.000000000000007	17	52	1.8202180862426758
2	4	12	6	6	3	35.60000000000001	31	54	3.2935001850128174
3	4	12	6	6	3	17.600000000000005	9	52	1.588425636291504
4	4	12	6	6	3	21.200000000000003	13	54	2.9153242111206055
5	4	12	6	6	3	20.000000000000004	12	52	2.0537631511688232
6	4	12	6	6	3	9.8	0	49	1.5195071697235107
7	4	12	6	6	3	19.400000000000002	12	49	2.6546669006347656
8	4	12	6	6	3	32.20000000000001	28	49	2.575809955596924
9	4	12	6	6	3	16.400000000000002	8	50	1.8820080757141113
10	4	12	6	6	3	21.800000000000004	15	49	2.063001871109009
11	8	56	12	6	7	42.20000000000001	34	75	374.1732966899872
12	8	56	8	6	7	60.00000000000001	57	72	2098.919365644455
13	8	56	8	6	7	32.00000000000001	23	68	750.2539534568787
14	8	56	10	6	7	38.80000000000001	33	62	2755.182589530945
15	8	56	9	6	7	42.80000000000001	37	66	1094.1978192329407
16	8	56	11	6	7	39.00000000000001	32	67	644.3233644962311
17	8	56	9	6	7	40.80000000000001	34	68	1594.3381035327911
18	8	56	9	6	7	52.20000000000001	49	65	1428.561000585556
19	8	56	8	6	7	47.60000000000001	43	66	3600.430027484894
20	8	56	10	6	7	45.60000000000001	40	68	2555.7134165763855
21	12	144	15	6	11	31.000000000000007	14	99	3600.715601682663
22	12	144	12	6	11	28.800000000000004	11	100	3600.663629055023
23	12	144	13	6	11	37.60000000000001	22	100	3600.4868597984314
24	12	144	9	6	11	19.000000000000004	0	95	3600.4891200065613
25	12	144	10	6	11	44.000000000000014	29	104	3600.2155015468597
26	12	144	13	6	11	67.80000000000001	58	107	3600.318268299103
27	12	144	11	6	11	60.20000000000001	49	105	3600.3245356082916
28	12	144	11	6	11	27.400000000000006	10	97	3600.8514170646667
29	12	144	10	6	11	27.200000000000006	10	96	3600.2657101154327
30	12	144	12	6	11	48.80000000000001	34	108	3600.530287504196
