Instance	Order	Job No	Assigned Job	Machine No	DC	Obj	Tardiness	Makespan	Solve Time
1	4	12	6	6	3	24.000000000000007	17	52	1.6203949451446533
2	4	12	6	6	3	35.60000000000001	31	54	1.283700704574585
3	4	12	6	6	3	17.600000000000005	9	52	0.9987943172454834
4	4	12	6	6	3	21.200000000000003	13	54	1.7619349956512451
5	4	12	6	6	3	20.000000000000004	12	52	1.1379361152648926
6	4	12	6	6	3	9.8	0	49	1.074483871459961
7	4	12	6	6	3	19.400000000000002	12	49	1.0363526344299316
8	4	12	6	6	3	32.20000000000001	28	49	1.2618811130523682
9	4	12	6	6	3	16.400000000000002	8	50	1.1193804740905762
10	4	12	6	6	3	21.800000000000004	15	49	1.2376832962036133
11	8	56	12	6	7	42.20000000000001	34	75	548.7911882400513
12	8	56	8	6	7	60.00000000000001	57	72	1229.963199853897
13	8	56	8	6	7	32.00000000000001	23	68	1121.700511455536
14	8	56	10	6	7	38.80000000000001	33	62	3075.214246034622
15	8	56	9	6	7	42.80000000000001	37	66	999.0049974918365
16	8	56	11	6	7	39.00000000000001	32	67	964.936577796936
17	8	56	9	6	7	40.80000000000001	34	68	1069.3052909374237
18	8	56	9	6	7	52.20000000000001	49	65	1946.5038714408875
19	8	56	8	6	7	48.00000000000001	43	68	3600.242237329483
20	8	56	10	6	7	45.60000000000001	40	68	2198.392817258835
21	12	144	15	6	11	32.20000000000001	15	101	3600.486524581909
22	12	144	12	6	11	36.600000000000016	20	103	3600.4929752349854
23	12	144	13	6	11	47.20000000000001	33	104	3600.5038244724274
24	12	144	9	6	11	19.000000000000004	0	95	3600.858117580414
25	12	144	10	6	11	46.20000000000001	32	103	3600.436804294586
26	12	144	13	6	11	59.60000000000001	49	102	3600.6695952415466
27	12	144	11	6	11	67.60000000000002	58	106	3600.620608329773
28	12	144	11	6	11	31.000000000000007	14	99	3600.5232441425323
29	12	144	10	6	11	30.600000000000005	14	97	3600.38684797287
30	12	144	12	6	11	67.80000000000003	57	111	3600.6497535705566
