Instance	Order	Job No	Machine No	DC	Obj	Tardiness	Makespan	Solve Time
1	4	12	6	3	24.0	17.0	52.0	83.1002790927887
2	4	12	6	3	35.6	31.0	54.0	84.75203466415405
3	4	12	6	3	17.6	9.0	52.0	89.19620823860168
4	4	12	6	3	21.200000000000003	13.0	54.0	88.95267844200134
5	4	12	6	3	20.0	12.0	52.0	63.92976641654968
6	4	12	6	3	9.8	0	49.0	48.438063859939575
7	4	12	6	3	19.400000000000002	12.0	49.0	100.33795213699341
8	4	12	6	3	32.2	28.0	49.0	110.2721860408783
9	4	12	6	3	16.4	8.0	50.0	57.46350836753845
10	4	12	6	3	21.800000000000004	15.000000000000002	49.0	91.99099135398865
11	8	56	6	7	57.0	52.0	77.0	3622.2195162773132
12	8	56	6	7	60.400000000000006	57.0	74.0	3630.2345056533813
13	8	56	6	7	33.2	24.0	70.0	3639.2575850486755
14	8	56	6	7	44.2	37.0	73.0	3633.9743275642395
15	8	56	6	7	50.599999999999994	46.0	69.0	3633.642897129059
16	8	56	6	7	39.400000000000006	32.0	69.0	3635.532922267914
17	8	56	6	7	43.2	36.0	72.0	3639.5307981967926
18	8	56	6	7	53.2	49.0	70.0	3640.3578445911407
19	8	56	6	7	49.400000000000006	44.0	71.0	3645.3015310764313
20	8	56	6	7	46.800000000000004	41.0	70.0	3633.31175160408
21	12	144	6	11	32.0	14.0	104.0	3654.019857645035
22	12	144	6	11	55.8	41.0	115.0	3613.06694316864
23	12	144	6	11	53.0	38.0	113.0	3662.7714471817017
24	12	144	6	11	32.6	14.0	107.0	3645.741206407547
25	12	144	6	11	66.8	55.0	114.0	3622.2204320430756
26	12	144	6	11	60.6	48.0	111.0	3609.772565126419
27	12	144	6	11	75.6	63.0	126.0	3613.9745478630066
28	12	144	6	11	45.0	27.0	117.0	3624.0732142925262
29	12	144	6	11	46.2	31.0	107.0	3620.2024762630463
30	12	144	6	11	55.00000000000001	41.0	111.0	3619.0278339385986
