Instance	Machines	DC	Obj	Tardiness	Makespan	Solve Time	iteration	Run Time	Total Iteration
1	6	3	25.200000000000003	54	18	430	15	3600	82
2	6	3	41.40000000000001	55	38	1986	55	3600	89
3	6	3	18.000000000000004	54	9	1363	51	3600	120
4	6	3	22.600000000000005	57	14	189	7	3600	84
5	6	3	28.200000000000006	57	21	805	28	3600	112
6	6	3	11.200000000000003	52	1	577	46	3600	180
7	6	3	22.800000000000004	58	14	1003	32	3600	92
8	6	3	42.00000000000001	66	36	2200	70	3600	105
9	6	3	19.400000000000002	53	11	1929	79	3600	116
10	6	3	23.000000000000004	51	16	267	11	3600	121
11	6	7	77.60000000000002	96	73	1821	16	3600	31
12	6	7	101.60000000000004	104	101	2757	3	3600	4
13	6	7	61.40000000000001	91	54	3520	52	3600	54
14	6	7	74.80000000000003	114	65	1731	18	3600	39
15	6	7	113.40000000000003	111	114	199	2	3600	61
16	6	7	74.00000000000003	90	70	142	6	3600	169
17	6	7	120.40000000000002	118	121	2254	21	3600	35
18	6	7	68.40000000000003	90	63	3540	21	3600	22
19	6	7	71.80000000000001	95	66	1983	12	3600	23
20	6	7	88.20000000000002	101	85	340	2	3600	12
21	6	11	65.20000000000002	130	49	2683	124	3600	167
22	6	11	98.60000000000002	173	80	2097	99	3600	164
23	6	11	112.00000000000001	156	101	366	17	3600	159
24	6	11	77.20000000000002	138	62	1249	54	3600	146
25	6	11	124.20000000000003	165	114	228	8	3600	164
26	6	11	115.40000000000002	161	104	1941	84	3600	158
27	6	11	108.40000000000003	150	98	2847	118	3600	147
28	6	11	89.60000000000002	140	77	123	4	3600	146
29	6	11	86.80000000000003	154	70	3462	172	3600	178
30	6	11	106.60000000000002	149	96	3532	275	3600	280
